SME Debt Tool|SME-Schulden-Tool
Debt Brake|Schuldenbremse
Cost Analysis|Kostenanalyse
Debt-Equity Swap|Schulden-Eigenkapital-Tausch
Debt Snowball|Schulden-Schneeball
Funding|Finanzierung
Covenants|Covenants
Language|Sprache
About|Über
SME Debt Management Tool|SME-Schuldenmanagement-Tool
Comprehensive debt management solutions for German SMEs|Umfassende Schuldenmanagement-Lösungen für deutsche KMU
Calculate|Berechnen
Analyze|Analysieren
Simulate|Simulieren
Prioritize|Priorisieren
Explore|Erkunden
Track|Verfolgen
Debt Brake Calculator|Schuldenbremse-Rechner
Calculate borrowing limits based on Germany's debt brake mechanism|Berechnen Sie Kreditlimits basierend auf Deutschlands Schuldenbremse-Mechanismus
Annual Revenue (€)|Jahresumsatz (€)
Enter annual revenue|Jahresumsatz eingeben
Your company's total annual revenue|Der Gesamtjahresumsatz Ihres Unternehmens
Current Debt (€)|Aktuelle Schulden (€)
Enter current debt|Aktuelle Schulden eingeben
Your current outstanding debt|Ihre aktuellen ausstehenden Schulden
Calculate Debt Limit|Schuldenlimit berechnen
Debt Brake Calculation|Schuldenbremse-Berechnung
Debt Brake Limit|Schuldenbremse-Limit
0.35% of annual revenue|0,35% des Jahresumsatzes
Available Capacity|Verfügbare Kapazität
Remaining borrowing capacity|Verbleibende Kreditkapazität
Current Debt Usage|Aktuelle Schuldennutzung
Within Limits|Innerhalb der Grenzen
Near Limit|Nahe dem Limit
Over Limit|Über dem Limit
Cost of Debt Analysis|Schuldenkosten-Analyse
Analyze pre-tax and after-tax cost of debt with detailed breakdowns|Analysieren Sie Vor- und Nachsteuer-Schuldenkosten mit detaillierten Aufschlüsselungen
Loan Principal (€)|Darlehenssumme (€)
Enter loan amount|Darlehenssumme eingeben
Total amount borrowed|Gesamtbetrag des Darlehens
Interest Rate (%)|Zinssatz (%)
Enter interest rate|Zinssatz eingeben
Annual interest rate|Jährlicher Zinssatz
Loan Term (Years)|Darlehenslaufzeit (Jahre)
Enter loan term|Darlehenslaufzeit eingeben
Length of loan in years|Länge des Darlehens in Jahren
Tax Rate (%)|Steuersatz (%)
Enter tax rate|Steuersatz eingeben
Corporate tax rate (default: 30%)|Körperschaftsteuersatz (Standard: 30%)
Calculate Cost Analysis|Kostenanalyse berechnen
Monthly Payment|Monatliche Zahlung
Fixed monthly payment|Feste monatliche Zahlung
Total Payment|Gesamtzahlung
Total amount to be paid|Gesamtbetrag zu zahlen
Total Interest (Pre-tax)|Gesamtzinsen (Vor Steuern)
Interest before tax benefits|Zinsen vor Steuervorteilen
After-tax Interest|Nachsteuer-Zinsen
Interest after tax benefits|Zinsen nach Steuervorteilen
Effective Interest Rate|Effektiver Zinssatz
After-tax effective interest rate|Nachsteuer-effektiver Zinssatz
This tool is for educational purposes only. Consult financial professionals for advice.|Dieses Tool dient nur zu Bildungszwecken. Konsultieren Sie Finanzexperten für Beratung.
Built with Flask & Bootstrap|Erstellt mit Flask & Bootstrap
Privacy Policy|Datenschutzrichtlinie
Terms of Service|Nutzungsbedingungen
An error occurred. Please try again.|Ein Fehler ist aufgetreten. Bitte versuchen Sie es erneut.
Please fill in all required fields.|Bitte füllen Sie alle erforderlichen Felder aus.
Invalid input. Please check your values.|Ungültige Eingabe. Bitte überprüfen Sie Ihre Werte.
Calculation Results|Berechnungsergebnisse
About Germany's Debt Brake|Über Deutschlands Schuldenbremse
What is the Debt Brake?|Was ist die Schuldenbremse?
Germany's debt brake (Schuldenbremse) limits government borrowing to 0.35% of GDP. For SMEs, this principle can be applied as a conservative borrowing guideline.|Deutschlands Schuldenbremse begrenzt die Staatsverschuldung auf 0,35% des BIP. Für KMU kann dieses Prinzip als konservative Kreditrichtlinie angewendet werden.
How it Works|Wie es funktioniert
The calculator uses 0.35% of your annual revenue as a conservative debt limit, helping you maintain financial stability.|Der Rechner verwendet 0,35% Ihres Jahresumsatzes als konservative Schuldengrenze und hilft Ihnen, die finanzielle Stabilität zu erhalten.
Benefits|Vorteile
Maintains financial discipline|Erhält finanzielle Disziplin
Reduces default risk|Reduziert Ausfallrisiko
Improves creditworthiness|Verbessert Kreditwürdigkeit
Ensures sustainable growth|Sichert nachhaltiges Wachstum
Important Note|Wichtiger Hinweis
This is a guideline tool. Consult with financial professionals for specific advice tailored to your situation.|Dies ist ein Richtlinien-Tool. Konsultieren Sie Finanzexperten für spezifische Beratung, die auf Ihre Situation zugeschnitten ist.
Cost Analysis Calculator|Kostenanalyse-Rechner
Cost Analysis Results|Kostenanalyse-Ergebnisse
Cost of Debt Analysis|Schuldenkosten-Analyse
What is Cost of Debt?|Was sind Schuldenkosten?
The cost of debt is the effective rate that a company pays on its borrowed funds. It includes both the interest rate and tax benefits.|Die Schuldenkosten sind der effektive Zinssatz, den ein Unternehmen für seine geliehenen Mittel zahlt. Es umfasst sowohl den Zinssatz als auch Steuervorteile.
Pre-tax vs After-tax|Vor Steuern vs. Nach Steuern
Pre-tax cost shows the raw interest expense, while after-tax cost accounts for tax deductibility of interest payments.|Die Vorsteuer-Kosten zeigen die reinen Zinsaufwendungen, während die Nachsteuer-Kosten die Steuerabzugsfähigkeit von Zinszahlungen berücksichtigen.
Why It Matters|Warum es wichtig ist
Helps in capital structure decisions|Hilft bei Kapitalstruktur-Entscheidungen
Compares different financing options|Vergleicht verschiedene Finanzierungsoptionen
Evaluates tax benefits of debt|Bewertet Steuervorteile von Schulden
Supports investment decisions|Unterstützt Investitionsentscheidungen
Debt-Equity Swap Simulation|Schulden-Eigenkapital-Tausch-Simulation
Simulate converting debt to equity to improve financial ratios|Simulieren Sie die Umwandlung von Schulden in Eigenkapital zur Verbesserung der Finanzkennzahlen
Debt-Equity Swap Calculator|Schulden-Eigenkapital-Tausch-Rechner
Current Equity (€)|Aktuelles Eigenkapital (€)
Enter current equity|Aktuelles Eigenkapital eingeben
Total shareholder equity|Gesamtes Eigenkapital der Aktionäre
Swap Amount (€)|Tauschbetrag (€)
Enter swap amount|Tauschbetrag eingeben
Amount of debt to convert to equity|Betrag der Schulden, der in Eigenkapital umgewandelt werden soll
Equity Price per Share (€)|Eigenkapitalpreis pro Aktie (€)
Enter equity price|Eigenkapitalpreis eingeben
Price per share for equity conversion|Preis pro Aktie für Eigenkapitalumwandlung
Simulate Swap|Tausch simulieren
Swap Simulation Results|Tausch-Simulationsergebnisse
New Debt-to-Equity Ratio|Neues Schulden-Eigenkapital-Verhältnis
After swap completion|Nach Abschluss des Tauschs
Shares to Issue|Auszugebende Aktien
Number of shares to issue|Anzahl der auszugebenden Aktien
Debt Reduction|Schuldenreduzierung
Amount of debt eliminated|Betrag der eliminierten Schulden
Equity Increase|Eigenkapitalerhöhung
Amount of equity added|Betrag des hinzugefügten Eigenkapitals
About Debt-Equity Swaps|Über Schulden-Eigenkapital-Tausch
What is a Debt-Equity Swap?|Was ist ein Schulden-Eigenkapital-Tausch?
